iter	MultiClass
0	1.085822141
1	1.072783541
2	1.062348034
3	1.051788881
4	1.038573171
5	1.028187636
6	1.018158347
7	0.9954375457
8	0.98271756879	0.9823626723
10	0.973878497
11	0.9654077472
12	0.9578134086
13	0.9498910648
14	0.94083034115	0.9457388583
16	0.9391264893
17	0.9321989125
18	0.9239147506119	0.9176467806220	0.9103234106221	0.893792134
22	0.8855703303
23	0.8813843226
24	0.8763015667
25	0.8731492822
26	0.8668813199
27	0.861271773
28	0.828	0.8349948847
29	0.8303991913
30	0.8266200187
31	0.8221925706
32	0.8182886358
33	0.8130356163
34	0.8082259852
35	0.8039519369
36	0.8014726298
37	0.7992019471
38	0.7961558882
39	0.7927887072
40	0.7908135538
41	0.7856077551
42	0.7829473998
43	0.780597814
44	0.7772043735
45	0.7743021182
46	0.7711718093
47	0.7682325349
48	0.7643316407
49	0.7614357029
50	0.7583977227
51	0.7548704797
52	0.7521245542
53	0.7467205312
54	0.7434288633
55	0.7409127733
56	0.7384170599
57	0.7361546886
58	0.7335845685
59	0.7303707896
60	0.7297384383
61	0.7281345784
62	0.7239995303
63	0.7213486024
64	0.71968785
65	0.7175767738
66	0.7149296511
67	0.7132617092
68	0.7110467682
69	0.7091910716
70	0.7058968671
71	0.7046240236
72	0.7025182506
73	0.6995245081
74	0.69701509
75	0.6935164108
76	0.690637442
77	0.6895271414
78	0.6871073565
79	0.6841024136
80	0.681518828
81	0.6796597504
82	0.6782137027
83	0.6774064499
84	0.6738484685
85	0.6715263326
86	0.670900831
87	0.6699474795
88	0.6679238831
89	0.6668995565
90	0.6646962456
91	0.6637874222
92	0.661816852
93	0.6587929073
94	0.6578214824
95	0.6570802219
96	0.6557548841
97	0.6539525112
98	0.6533387688
99	0.6528434684
100	0.6499229651
101	0.6493419802
102	0.6473111351
103	0.6457655191
104	0.6449544709
105	0.6444472696
106	0.6436350981
107	0.6108	0.6758254085
109	0.6751959539
110	0.6743081221
111	0.6733814192
112	0.6721750636
113	0.6712093231
114	0.6707387301
115	0.6686880835
116	0.6671968656
117	0.6650835428
118	0.6633275007
119	0.6623638232
120	0.6613937908
121	0.6607670966
122	0.6590899181
123	0.6579328439
124	0.6573985686
125	0.6561849641
126	0.6546619882
127	0.653438017
128	0.653014076
129	0.6513911732
130	0.6497393523
131	0.6482325248
132	0.6464037296
133	0.6454938347
134	0.6428740685
135	0.6420343981
136	0.6410366311
137	0.6402507452
138	0.6396531558
139	0.6387140502
140	0.6375473829
141	0.6353861365
142	0.6341132222
143	0.6328084725
144	0.6320391747
145	0.63075309
146	0.6300604154
147	0.6284340912
148	0.6267164021
149	0.6259854148
150	0.6251065548
151	0.623769519
152	0.6225164793
153	0.6212995611
154	0.6200186673
155	0.6189113784
156	0.6183975573
157	0.6177087016
158	0.6141958841
159	0.612587995
160	0.6112192671
161	0.6093867243
162	0.6088905199
163	0.6074390958
164	0.6064169552
165	0.605746022
166	0.6052214923
167	0.6042254835
168	0.6032777837
169	0.6022641686
170	0.6018400427
171	0.6002080106
172	0.5988655575
173	0.598174372
174	0.5966854535
175	0.5959561764
176	0.5942710444
177	0.5935931674
178	0.5921427384
179	0.5910348904
180	0.5902780784
181	0.5895595985
182	0.5877262636
183	0.5863071664
54125281


