iter	Passed	Remaining
0	0	69
1	0	62
2	2	149
3	3	140
4	3	117
5	3	101
6	3	90
7	3	6	22	566
79	6	114
10	7	111
11	9	141
12	10	133
13	10	126
14	10	121
15	10	111516	11	101617	11	101718	11	98119	11	94
20	11	90
21	11	86
22	12	84
221	26	195
22	26	188
23	27	26	16	93
27	1625	228	16	26	29	16	86
30	17	84
31	28	45	242
29	45	233
30	46	227
31	46	220
32	46	212
33	46	206
34	47	200
35	47	195
36	47	189
37	48	184
38	48	180
39	49	178
40	49	173
41	49	168
42	49	163
43	50	159
44	50	155
45	50	151
46	50	147
47	50	143
48	51	141
49	51	138
50	52	136
51	53	134
52	53	132
53	53	129
54	53	126
55	54	123
56	54	120
57	54	118
58	54	115
59	54	113
60	55	111
61	55	108
62	55	106
63	55	104
64	55	102
65	56	100
66	56	99
67	57	97
68	57	95
69	57	93
70	58	92
71	58	90
72	58	88
73	58	87
74	58	85
75	59	84
76	59	82
77	59	81
78	60	80
79	60	78
80	61	77
81	62	77
82	62	76
83	62	74
84	63	73
85	63	72
86	63	71
87	64	69
88	64	68
89	64	67
90	65	66
91	65	65
92	66	64
93	67	64
94	67	63
95	67	62
96	68	61
97	68	60
98	68	59
99	69	58
100	69	57
101	69	56
102	70	55
103	70	54
104	70	53
105	70	52
106	71	108	107	73
109	108	72
110	108	71
111	116	74
112	117	73
113	124	76
114	127	76
115	128	75
116	128	73
117	128	72
118	128	70
119	130	69
120	130	67
121	130	66
122	131	64
123	131	63
124	131	62
125	131	60
126	132	59
127	134	58
128	134	57
129	135	56
130	135	54
131	135	53
132	137	52
133	139	51
134	139	50
135	139	49
136	140	48
137	140	46
138	142	46
139	142	44
140	144	43
141	144	42
142	144	41
143	145	40
144	145	39
145	145	37
146	145	36
147	145	35
148	146	34
149	146	33
150	146	32
151	146	30
152	147	29
153	147	28
154	147	27
155	147	26
156	147	25
157	148	24
158	149	23
159	151	22
160	151	21
161	152	20
162	153	19
163	153	18
164	153	17
165	154	16
166	154	15
167	154	14
168	155	13
169	155	12
170	156	11
171	156	10
172	156	9
173	157	9
174	157	8
175	160	7
176	160	6
177	161	5
178	161	4
179	161	3
180	161	2
181	162	1
182	162	0
183	162	0
